,x,y,width,height,max_confidence,image_path
0,"[2410, 1036]","[1197, 81]","[352, 363]","[242, 163]",0.8278553485870361,/content/drive/MyDrive/soter_imgs/DJI_0316.JPG
1,[2420],[1695],[374],[242],0.3498370349407196,/content/drive/MyDrive/soter_imgs/DJI_0317.JPG
2,[],[],[],[],0.0,/content/drive/MyDrive/soter_imgs/DJI_0318.JPG
3,[],[],[],[],0.0,/content/drive/MyDrive/soter_imgs/DJI_0319.JPG
4,[1084],[295],[267],[192],0.768812894821167,/content/drive/MyDrive/soter_imgs/DJI_0320.JPG
5,"[1100, 1164]","[669, 1396]","[277, 299]","[199, 199]",0.799468457698822,/content/drive/MyDrive/soter_imgs/DJI_0321.JPG
6,"[1122, 1213]","[1043, 1752]","[256, 309]","[206, 142]",0.4830893576145172,/content/drive/MyDrive/soter_imgs/DJI_0322.JPG
7,[1148],[1421],[267],[192],0.662452220916748,/content/drive/MyDrive/soter_imgs/DJI_0323.JPG
8,[],[],[],[],0.0,/content/drive/MyDrive/soter_imgs/S1013751.JPG
9,[],[],[],[],0.0,/content/drive/MyDrive/soter_imgs/S1013756.JPG
10,[],[],[],[],0.0,/content/drive/MyDrive/soter_imgs/S1013839.JPG
